nqueries,snid,acc,eff,pur,fom,day_of_survey
142,DES_SN418989,0.7908472012102874,0.226255707763,0.6727766463,0.0920063218682,162
143,DES_SN111544,0.7897083310952355,0.208352246936,0.682527881041,0.0869792463334,163
144,DES_SN277428,0.7965110037573806,0.252435984591,0.693648816936,0.108576713063,164
145,DES_SN832727,0.797691894793344,0.244731475187,0.712401055409,0.110682576718,165
146,DES_SN329622,0.8008766771796654,0.251465944971,0.733070348455,0.120181966842,166
147,DES_SN340741,0.8009698390706597,0.257847533632,0.730158730159,0.122278211826,167
148,DES_SN736173,0.8009569377990431,0.25810780586,0.729917773561,0.122322960149,168
149,DES_SN029572,0.801517805020432,0.26077249386,0.731371321227,0.124066098912,169
150,DES_SN158728,0.8032160483999363,0.258763116767,0.749191984486,0.129103078921,170
151,DES_SN582179,0.8034636161423578,0.259473918859,0.749517063748,0.129569987796,171
152,DES_SN789831,0.8028280902446775,0.258805171645,0.744708146248,0.12758930118,172
153,DES_SN024640,0.8036754581082513,0.258582255907,0.752757949384,0.13024551318,173
154,DES_SN793278,0.803198813684991,0.253455193937,0.755984042553,0.128766110593,174
155,DES_SN443391,0.8039008404249696,0.260888888889,0.753530166881,0.131678226808,175
156,DES_SN393571,0.8043363578814096,0.263811848236,0.75253164557,0.132799444349,176
157,DES_SN347767,0.8032812829710909,0.263811848236,0.743125,0.129509615009,177
158,DES_SN033741,0.8047997473817168,0.270616847225,0.749082007344,0.134977596171,178
159,DES_SN681768,0.8052780990432131,0.271643109541,0.751833740831,0.136487346705,179
160,DES_SN749849,0.8044883586482368,0.274011923162,0.741781231321,0.134035788981,180
180,DES_SN872011,0.8040409341380215,0.278132569919,0.734729493892,0.133516319197,181
